scenario,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
00_groundtruth,0.338,0.372090061409179,0.338,0.3374876991151405,0.3578772721695515,0.3369037121021248,0.3308872392245308
01_original,0.356,0.3859586494360962,0.356,0.3618928103646015,0.3725414648871276,0.3536845972957083,0.3544425396101498
02_spatial,0.33,0.3733347294101128,0.33,0.3383174990104292,0.3611622265383565,0.3308400520702108,0.3337461616567831
03_frequency,0.374,0.4160370441547716,0.374,0.3793615200737926,0.4024542804186672,0.3714728730998572,0.3707869522087448
04_spatial_enhanced,0.342,0.3602879189936125,0.342,0.3432949362966555,0.3512277419100005,0.340448055765516,0.3381918192638708
05_frequency_enhanced,0.342,0.37869461379315,0.342,0.3370719052297481,0.3667207813556008,0.3388294700596287,0.3296982849119792
06_spatial_histeq,0.342,0.3578373434691128,0.342,0.3410882286468445,0.3494409064068304,0.3397228521038045,0.3366304025825349
07_frequency_histeq,0.332,0.3503600411269933,0.332,0.3334689618095857,0.3407718150931264,0.3280559754766103,0.326619768008676
08_spatial_gamma,0.324,0.3243145579048,0.324,0.3178854512741883,0.3153365088893335,0.316981187536743,0.3101748008126148
09_frequency_gamma,0.368,0.3818213484184041,0.368,0.3675031982446919,0.3725058975116033,0.3624529688418577,0.3602150926359137
