stage,psnr,psnr,ssim,ssim
,mean,std,mean,std
freq_hpf,4.652294073268125,1.202298769559919,0.036466490443331154,0.03894136403381562
freq_lpf,25.233218242393516,1.880462463853966,0.8211969562050945,0.046441889555713135
roi_frequency_clahe,19.84533630253248,0.9528499382318294,0.6017896286040766,0.06394373668230964
roi_frequency_closing,18.02597823941776,2.09337033511076,0.6926163547021394,0.05780948786568622
roi_frequency_gamma,22.876413221141668,4.870532198372319,0.7898976079102045,0.06412620786233024
roi_frequency_histeq,19.769596229697157,4.723269792028187,0.7015550563121368,0.10945533008650335
roi_frequency_opening,18.189757660446794,1.982103839602346,0.7021378442294264,0.05466722369472913
roi_frequency_tophat,5.764963708606948,1.349157134342257,0.17046823652895043,0.04276895043110006
roi_spatial_clahe,20.055808203105308,0.9715392420206449,0.603859221650665,0.06454911312321383
roi_spatial_closing,18.23179929674318,2.1581466390601487,0.6955183026244155,0.05848220442753346
roi_spatial_gamma,22.9348314621553,4.912147458923678,0.7886981347864578,0.06433036069634444
roi_spatial_histeq,19.81326114164554,4.776938514022492,0.7011094934054893,0.10960270513512359
roi_spatial_opening,18.364239164633226,1.998381780799251,0.7046876416701532,0.05490085179873663
roi_spatial_tophat,5.755466480611932,1.3468053325343157,0.16948777174286528,0.04237387733951157
spatial_gaussian,25.491443792678883,1.8740308036998536,0.8206873106977685,0.0467741574079072
spatial_unsharp,25.381121952090147,1.8212830097753723,0.7869966895802054,0.050061832197375436
